Dzielnica,Metraż,Pokoje,Piętro,Cena
Bemowo,77.0,4,2,16300.0
Wola,77.0,4,2,21168.0
Śródmieście,164.62,5,2,2575000.0
Białołęka,31.76,1,2,555000.0
Wawer,59.32,2,2,940000.0
Żoliborz,65.0,4,2,1092000.0
Śródmieście,135.0,5,2,4860000.0
Mokotów,109.7,3,2,1690000.0
Wola,57.2,2,2,1201200.0
Wola,31.0,2,2,540000.0
Śródmieście,93.0,4,2,29500.0
Śródmieście,93.89,4,2,3542600.0
Targówek,59.97,3,2,849295.0
Targówek,44.36,2,2,641135.0
Wawer,127.22,5,2,1449000.0
Mokotów,61.81,3,2,1115000.0
Ochota,48.0,2,2,840000.0
Bielany,156.0,5,2,3276880.0
Mokotów,61.3,3,2,1249000.0
Śródmieście,48.0,2,2,1100000.0
Praga-Południe,76.49,4,2,1199000.0
Ursynów,50.0,2,2,850000.0
Ochota,33.0,1,2,549000.0
Mokotów,34.49,2,2,717392.0
Praga-Północ,47.0,3,2,600000.0
Mokotów,110.49,4,2,2780000.0
Ochota,132.0,4,2,21660.0
Wola,99.0,4,2,23550.0
Mokotów,87.59,4,2,1684093.0
Bemowo,95.0,4,2,16900.0
Wawer,59.32,2,2,940000.0
Targówek,20.4,1,2,385000.0
Białołęka,71.07,2,2,1050347.0
Białołęka,41.47,2,2,626482.0
Wola,40.5,2,2,872000.0
Mokotów,52.21,2,2,939000.0
Wesoła,53.5,3,2,709543.0
Mokotów,93.0,3,2,2205000.0
Praga-Północ,41.84,2,2,1108760.0
Praga-Południe,42.96,2,2,770000.0
Mokotów,72.73,3,2,1382451.0
Wilanów,50.48,2,2,990000.0
Mokotów,65.0,2,2,1170000.0
Praga-Południe,40.74,2,2,699000.0
Wola,49.0,3,2,999000.0
Żoliborz,74.14,3,2,1990000.0
Wola,53.81,2,2,1890000.0
Bielany,29.47,1,2,529000.0
Żoliborz,80.1,3,2,2070000.0
Wola,32.6,1,2,866000.0
Ochota,0.42,3,2,869000.0
Wola,37.4,1,2,1099000.0
Praga-Południe,25.5,1,2,458000.0
Praga-Północ,75.5,3,2,1350000.0
Białołęka,60.0,4,2,749000.0
Wawer,124.77,5,2,1350000.0
Mokotów,83.9,4,2,1870000.0
Ursynów,74.08,3,2,1150000.0
Ochota,120.0,5,2,14349.0
Praga-Południe,149.0,5,2,22900.0
Białołęka,74.2,4,2,994280.0
Targówek,20.4,1,2,385000.0
Białołęka,96.0,4,2,12600.0
Wilanów,84.0,4,2,1990000.0
Wilanów,51.31,2,2,1040000.0
Ochota,43.59,2,2,799000.0
Praga-Północ,255.0,5,2,23115.0
Bemowo,46.7,2,2,831260.0
Ursus,43.0,2,2,664500.0
Praga-Południe,43.0,2,2,929000.0
Ursus,50.0,3,2,747086.0
Śródmieście,72.0,2,2,2799000.0
Wilanów,140.5,4,2,2930000.0
Targówek,65.87,3,2,1199000.0
Bielany,47.6,3,2,650000.0
Żoliborz,81.0,4,2,1849000.0
Włochy,19.0,1,2,399000.0
Śródmieście,50.02,2,2,1049000.0
Śródmieście,62.4,3,2,1375000.0
Mokotów,46.35,2,2,705000.0
Ursus,42.45,2,2,661421.0
Ursus,58.04,3,2,789000.0
Ursus,58.0,3,2,795020.0
Mokotów,57.47,3,2,1598000.0
Ursus,58.05,3,2,820721.0
Ursus,42.4,2,2,660449.0
Bielany,46.25,2,2,740000.0
